"Afrikaans","Dutch","English"
"masjienkap","motorkap","bonnet  hood  bonnet  hood  (UK)bonnet  hood  bonnet  hood  (UK)bonnet  hood  bonnet  hood  (UK)bonnet  hood  bonnet  hood  (UK)(US)bonnet  hood  bonnet  hood  (UK)bonnet  hood  bonnet  hood  (UK)bonnet  hood  bonnet  hood  (UK)bonnet  hood  bonnet  hood  (UK)(US)"
"meisie","meisje, meid","girl"
"mekaar","elkaar elkaar ( also used in Belgium)mekaar","each other"
"melkskommel","milkshake","milkshake"
"moffie","homo","gay, effeminate man"
"moltrein","metro","metro, subway train"
"moontlik","mogelijk","possible"
"muurpapier","behang","wallpaper"
"na","naar","to"
"ná","na","after"
"naby","dichtbij, nabij","close to"
"naweek","weekend, weekeinde","weekend"
"nie","niet","not"
"niggie","nichtje","niece"
"Nieu-Seeland","Nieuw-Zeeland","New Zealand"
"nuus","nieuws","news"
"nuusblad, nuustydskrif","opinieblad, nieuwsblad","news magazine, news letter"
"onderskrifte","ondertitels","subtitles"
"oomblik","moment, ogenblik","moment"
"oopmaak, maak oop","openen","to open"
"oorklanking","nasynchronisatie","dubbing"
"oorspronklik","origineel, oorspronkelijk","original"
"oos","oost","east"
"openbare maatskappy","naamloze vennootschap (NV)","public limited company"
"ou, outjie","kerel, gozer","guy, bloke"
"outomaties","automatisch","automatic"
"padda","kikker kikker  means ""toad""pad","frog"
"passasier","passagier","passenger"
"perd","paard","horse"
"peuselhappies","snacks, hapjes","snacks"
"piesang","banaan banaan less common:  pisang","banana"
"pikkewyn","pinguïn, vetgans","penguin"
"polisiebeampte","politieagent","police officer"
"polisiestasie, polisiekantoor","politiebureau","police station"
"posbus","postbus","post office box"
"poskantoor","postkantoor","post office"
"posman","postbode","postman"
"prokureur","advocaat","attorney, solicitor, lawyer"
"pynappel","ananas","pineapple"
"reisagent, reisagentskap","reisbureau reisagentschap , reisagentreisbureau reisagentschap , reisagent(Netherlands)reisbureau reisagentschap , reisagentreisbureau reisagentschap , reisagent(Netherlands)reisbureau reisagentschap , reisagentreisbureau reisagentschap , reisagent(Netherlands)reisbureau reisagentschap , reisagentreisbureau reisagentschap , reisagent(Netherlands)(Belgium)","travel agent, travel agency travel agent, travel agency"
"rolprent","film film  considered datedrolprent","film"
"rubriekskrywer","columnist","newspaper columnist"
"sakrekenaar","rekenmachine, zakrekenmachine, calculator","calculator"
"sambreel","paraplu","umbrella"
"sampioen","champignon","mushroom"
"saans","'s avonds","in the evening"
"sê","zeggen","say"
"selfoon","mobiele telefoon, mobieltje GSM mobiele telefoon, mobieltje GSM (Netherlands)mobiele telefoon, mobieltje GSM mobiele telefoon, mobieltje GSM (Netherlands)mobiele telefoon, mobieltje GSM mobiele telefoon, mobieltje GSM (Netherlands)mobiele telefoon, mobieltje GSM mobiele telefoon, mobieltje GSM (Netherlands)(Belgium)","mobile phone cellphone mobile phone cellphone (UK)mobile phone cellphone mobile phone cellphone (UK)mobile phone cellphone mobile phone cellphone (UK)mobile phone cellphone mobile phone cellphone (UK)(US, South Africa)"
"sent","cent","cent"
"seuntjie","jongen jongen  means ""(small) son""zoontje","boy, young man"
"sinies","cynisch","cynical"
"sjokolade","chocolade","chocolate"
"skadu, skaduwee","schaduw, schaduwbeeld","shadow"
"skakel","bellen bellen ( means ""to change gear"")schakelen","dial, call (telephone number)"
"skeelhoofpyn","migraine","migraine"
"skootrekenaar","laptop","laptop"
"slagoffer","slachtoffer","victim"
"slaptjips","frieten","french fries, chips"
"sokker","voetbal","football, soccer"
"soos","als, zoals","like, such as"
"spinnekop","spin","spider"
"spoed","snelheid","speed"
"staatsdiens","civiele dienst  overheidsdienst civiele dienst  overheidsdienst (Netherlands)civiele dienst  overheidsdienst civiele dienst  overheidsdienst (Netherlands)civiele dienst  overheidsdienst civiele dienst  overheidsdienst (Netherlands)civiele dienst  overheidsdienst civiele dienst  overheidsdienst (Netherlands)(Belgium)","civil service, public service"
"stasie","station","station"
"Statebond","Gemenebest van Naties","Commonwealth of Nations"
"stasiewa","stationwagen","station wagon, estate"
"streek","gewest, regio","region"
"stuurwiel","stuurrad","steering wheel"
"suid","zuid","south"
"suiwer","zuiver","clean"
"suurlemoen","citroen","lemon"
"sypaadjie","stoep, trottoir, voetpad","pavement , sidewalk  pavement , sidewalk  (UK)pavement , sidewalk  pavement , sidewalk  (UK)pavement , sidewalk  pavement , sidewalk  (UK)pavement , sidewalk  pavement , sidewalk  (UK)(US)"
"tjek","cheque","cheque, check"
"toeter","claxon","hooter , horn  hooter , horn  (UK)hooter , horn  hooter , horn  (UK)hooter , horn  hooter , horn  (UK)hooter , horn  hooter , horn  (UK)(US)"
"troeteldier","huisdier","pet (animal)"
"tuisblad","homepagina, thuispagina","homepage"
"uitgawe","editie, versie, uitgaveeditie, versie, uitgaveeditie, versie, uitgaveeditie, versie, uitgave can also mean ""expenditure""uitgaven","edition, version"
"uitsaai","omroep, uitzending","broadcasting"
"uurglas","zandloper","hourglass"
"van","achternaam, van","surname"
"vanaand","vanavond","this evening"
"vanmôre","vanmorgen","this morning"
"vat","pakken","seize, clutch"
"verkleurmannetjie (also trapsoetjies, trapsuutjies)","kameleon","chameleon"
"vir","voor","for"
"vlak, peil","niveau, peil","level"
"vlugbeampte, vlugkelner","steward","air steward, flight attendant"
"voetsek! (voert sê ek!)","verdwijn!","get lost! away with you!"
"vrieskas","vrieskist, diepvries, diepvriezer","freezer"
"vuurhoutjie","lucifer","match, light"
"wa","wagen","wagon"
"wasbak","wasbak, wastafel","washbasin, sink"
"wat","welke, wie","which, who"
"webwerf","website","website"
"weermag","krijgsmacht","defence force, armed forces"
"wêreldwyd","wereldwijd","worldwide"
"wees","zijn, wezen","to be"
"wes","west","west"
"woonstel","appartement","apartment, flat"
"yskas","koelkast, ijskast","refrigerator"
"Ysland","IJsland","Iceland"
"yster","ijzer","iron"
