"Distribution","Free software repositories","Approximate number of pre-compiled  Approximate number of pre-compiled  packages","Approximate number of source packages","Default package management tool(s)","Package format","Default installer","installation process  installation process Graphical","Netinstall","Netboot"
"Free, and nonfree","140  140[191]","?","addon manager, own and 3rd party addons  addon manager, own and 3rd party addons XBMCbuntu",".zip","","Yes","?","?"
"Free, and nonfree","34,000","34,000  34,000[192]",",  ,  YaST,  ,  YaSTZypper","RPM","YaST","Yes","Yes","?"
"Free, and nonfree","2,000","?","opkg",".ipk","-","No","?","?"
"Free only","23,000  23,000[193]","?","Pacman",".pkg.tar.xz","None (third-party install scripts only) or  None (third-party install scripts only) or  Calamares","Yes","Yes","?"
"Free, and nonfree","4,000","?","PiSi",".pisi","YALI","Yes","?","?"
"Free, and nonfree","29,000","14,900","APT",".deb","","Yes","?","?"
"Free, and nonfree","12,000","?","APT, RPM","RPM","","Yes","?","?"
"Free, and nonfree","700","?","PupGet,  PupGet,  DotPup",".pup, .pet","","Yes","?","?"
"Free, and nonfree","(plus  from EPEL)  (plus  from EPEL) 3,000 (plus  from EPEL)  (plus  from EPEL) 3,0009,155 (plus  from EPEL)  (plus  from EPEL) 3,000 (plus  from EPEL)  (plus  from EPEL) 3,0009,155[194]","?","RPM, yum","RPM","Anaconda","Yes","?","?"
"Free, and nonfree","5,000","?","APT",".deb","","Yes","?","?"
"Free, and nonfree",">13,130","?","Portage, Entropy","ebuild, .tbz2","Calamares","Yes","?","?"
"Free, and nonfree","?","?","APT/yum","RPM","","Yes","?","?"
"Free, and nonfree","2,292","from SlackBulids  from SlackBulids 7,705 from SlackBulids  from SlackBulids 7,705[195]","slackpkg","tgz, , , .tbz tgz, , , .tbz .txztgz, , , .tbz tgz, , , .tbz .txz.tlz","bash script  bash script[196]","No","Yes","Yes"
"Free, and nonfree","2,050","?","none",".lzm","","","?","?"
"Free, and nonfree","3,381  3,381[197]","?","Tazpkg",".tazpkg","tazinst","Yes","iPXE","iPXE"
"Free, and nonfree","9,500","?","eopkg",".eopkg","os-installer","Yes","No","No"
"Free, and nonfree","118","8,876","Sorcery Package Manager","src","","Yes","?","?"
"Free, and nonfree","24,094","11,385","YaST, Zypper","RPM","YaST","Yes","?","?"
"Tiny Core Linux","Free, and nonfree","25,160","?","ab, tce-load","tcz","tc-install, core2usb","Yes","?","?"
"Tiny SliTaz","Free, and nonfree","50","?","Web site Web site [198]","tazpkg","","No","?","iPXE"
"Tor-ramdisk","Free, and nonfree","?","?","none","none","","No","?","?"
"Free only","52,748  52,748[199]","?","APT",".deb","Ubiquity","Yes","Yes","?"
"Free, and nonfree","plus ≈30 custom packages  plus ≈30 custom packages 57,290 plus ≈30 custom packages  plus ≈30 custom packages 57,290[179]","(currently TurnKey only supplies source code for custom packages)  (currently TurnKey only supplies source code for custom packages) 21,041 (currently TurnKey only supplies source code for custom packages)  (currently TurnKey only supplies source code for custom packages) 21,041[d]","APT",".deb","DI-Live (custom fork of Debian Installer)","No","No","No"
"Free, and nonfree","88,367  88,367[200]","24,474  24,474[e]","APT",".deb","Ubiquity","Yes","Yes","PXE"
"Free only","5,000","?","UTUTO Package Manager","ebuild","?","?","No","No"
"Free, and nonfree","?","?",", , installpkg , , installpkg slapt-get, , installpkg , , installpkg slapt-getgslapt","tgz","","Yes","?","?"
"Free, nonfree and multilib","6,000","6,719","xbps",".xbps","ncurses script","Yes","Yes","No"
"Free, and nonfree","?","?","APT",".deb","","No","?","?"
"Free, and nonfree","?","?","APT",".deb","dpkg","Yes","?","?"
"Free, and nonfree","2,000","?","netpkg, installpkg, upgradepkg","tgz, txz","","Yes","?","?"

